field_id,section_id,display_order,field_name,field_type,allow_others,allow_normal,normal_text,no_of_lines,status,observation_type,observation_code,file_content,content_type,filename,markers,is_mandatory,use_in_presenting_complaint,phrase_category_id,pattern_id,old_field_id
69,4,2,Surgical History,text,N,N,"",3,A,"","",,,,,f,N,,,
444,80,5,Upashaya/Anupashaya,text,N,N,"",,A,"","",,,,,f,N,,,
71,4,4,Personal History,checkbox,N,N,"",,A,"","",,,,,f,N,,,
74,1,1,Chief Complaint with Onset & Duration,text,N,N,"",5,A,"","",,,,,f,N,,,
75,1,7,Upashaya/Anupashaya,checkbox,N,N,"",2,A,"","",,,,,f,N,,,
76,1,3,Associated Complaint with Onset & Duration,text,N,N,"",3,A,"","",,,,,f,N,,,
1,1,1,Location,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
2,1,2,Quality,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
3,1,3,Duration,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
4,1,4,Timing,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
5,1,5,Context,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
6,1,6,Modifying Factors,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
7,1,7,Severity,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
8,1,8,Associated Signs & Symptoms,dropdown,Y,N,"",3,I,"","",,,,,f,N,,,
41,1,9,Additional Complaint,text,N,N,"",,I,"","",,,,,f,N,,,
79,17,1,"Examinationm,,,,, ",text,N,N,"",3,I,"","",,,,,f,N,,,
78,14,2,Doctor's Notes,text,N,N,"",3,A,"","",,,,,f,N,,,
67,12,1,Examination,checkbox,Y,N,"",,A,"","",,,,,f,N,,,
80,16,1,Posture,text,N,N,"",1,A,"","",,,,,f,N,,,
81,16,3,Mental State,text,N,N,"",1,A,"","",,,,,f,N,,,
82,16,4,Orientation,text,N,N,"",1,A,"","",,,,,f,N,,,
83,16,5,Memory,text,N,N,"",1,A,"","",,,,,f,N,,,
84,16,6,Built,text,N,N,"",1,A,"","",,,,,f,N,,,
85,16,7,State of Nutrition,text,N,N,"",1,A,"","",,,,,f,N,,,
86,16,8,Facies,text,N,N,"",1,A,"","",,,,,f,N,,,
87,16,9,Pallor,text,N,N,"",1,A,"","",,,,,f,N,,,
96,19,1,Prakruti,dropdown,N,N,"",,A,"","",,,,,f,N,,,
93,18,1,Nidana,text,N,N,"",1,A,"","",,,,,f,N,,,
72,4,9,Immunization History,text,N,N,"",1,A,"","",,,,,f,N,,,
90,4,7,Birth History ,text,N,N,"",1,A,"","",,,,,f,N,,,
91,4,8,Growth and development History ,text,N,N,"",1,A,"","",,,,,f,N,,,
52,7,3,OH,checkbox,Y,N,"",,A,"","",,,,,f,N,,,
92,14,3,Source of History,text,N,N,"",1,A,"","",,,,,f,N,,,
94,18,2,Poorvaroopa,text,N,N,"",1,A,"","",,,,,f,N,,,
95,18,3,Roopa,text,N,N,"",1,A,"","",,,,,f,N,,,
39,4,3,Diagnostic History,text,N,N,"",3,A,"","",,,,,f,N,,,
439,118,1,"",text,N,N,"",,A,"","",,,,,f,N,,,
97,19,2,Vikruti,dropdown,N,N,"",,A,"","",,,,,f,N,,,
98,19,3,Sara,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
99,19,4,Samhanana,dropdown,N,N,"",,A,"","",,,,,f,N,,,
100,19,5,Satva,dropdown,N,N,"",,A,"","",,,,,f,N,,,
101,19,6,Satmya,dropdown,N,N,"",,A,"","",,,,,f,N,,,
73,1,1,H/o,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
103,19,8,Jarana Shakti,dropdown,N,N,"",,A,"","",,,,,f,N,,,
88,16,1,Cyanosis.,text,N,N,"",1,I,"","",,,,,f,N,,,
102,19,7,Abhyavaharana Shakti,dropdown,N,N,"",,A,"","",,,,,f,N,,,
104,19,9,Vyayama Shakti,dropdown,N,N,"",,A,"","",,,,,f,N,,,
105,19,10,Vayas,dropdown,N,N,"",,A,"","",,,,,f,N,,,
106,19,11,Baalyavastha,dropdown,N,N,"",,A,"","",,,,,f,N,,,
140,24,3,Prone Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
107,19,12,Madhyamavastha,dropdown,N,N,"",,A,"","",,,,,f,N,,,
130,22,1,Standing Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
131,22,2,Sitting Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
132,22,3,Prone Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
133,22,4,Supine Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
136,23,3,Prone Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
137,23,4,Supine Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
142,25,1,Kriyas,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
115,20,9,Inborn metabolic errors,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
117,20,11,Unexplained Weight loss,checkbox,N,N,"",,A,"","",,,,,f,N,,,
118,20,12,Is on Restricted Diet,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
119,20,13,Chronic illness if any,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
143,26,1,Pranayamas,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
144,27,1,Mudras,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
122,20,16,General Dietic restrictions,text,N,N,"",2,A,"","",,,,,f,N,,,
123,20,17,Diet chart given to Pt,dropdown,N,N,"",,A,"","",,,,,f,N,,,
124,20,18,Frequency of Re- Assessment,dropdown,N,N,"",,A,"","",,,,,f,N,,,
120,20,14,Long term Medication if any,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
121,20,15,Consultant Dietic Restrictions,text,N,N,"",3,A,"","",,,,,f,N,,,
125,20,16,Diet Incharge,text,N,N,"",1,I,"","",,,,,f,N,,,
127,20,6,SNF Score (scale of 1-10),dropdown,N,N,"",,A,"","",,,,,f,N,,,
145,28,1,Bandhas,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
147,30,1,Meditation Techniques,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
141,24,4,Supine Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
109,20,1,Diet Type ,dropdown,N,N,"",,A,"","",,,,,f,N,,,
108,19,13,Vruddhavastha,dropdown,N,N,"",,A,"","",,,,,f,N,,,
146,29,1,Relaxation Techniques,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
113,20,5,Difficulty in Swallowing..,dropdown,N,N,"",,I,"","",,,,,f,N,,,
129,21,2,General Examination,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
128,21,1,General Condition,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
134,23,1,Standing position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
112,20,7,Jihwa ,dropdown,N,N,"",,A,"","",,,,,f,N,,,
135,23,2,Sitting Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
110,20,5,Appetite (Subject View),checkbox,N,N,"",1,A,"","",,,,,f,N,,,
114,20,8,Difficulty in swallowing,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
138,24,1,Standing Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
126,20,19,Name of Diet Incharge,text,N,N,"",1,I,"","",,,,,f,N,,,
116,20,10,Intake of ,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
111,20,6,SNF Score (scale of 1-10).,text,N,N,"",,I,"","",,,,,f,N,,,
139,24,2,Sitting Position,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
148,10,3,Screening Doctor,text,N,N,"",1,A,"","",,,,,t,N,,,
149,31,1,Chief Complaint & Duration,wide text,N,N,"",2,A,"","",,,,,f,N,,,
