field_id,section_id,display_order,field_name,field_type,allow_others,allow_normal,normal_text,no_of_lines,status,observation_type,observation_code,file_content,content_type,filename,markers,is_mandatory,use_in_presenting_complaint,phrase_category_id,pattern_id,old_field_id
222,31,6,Family History,wide text,N,N,"",2,A,"","",,,,,f,N,,,
173,35,6,Findings,text,N,N,"",2,A,"","",,,,,f,N,,,
151,31,4,Surgical History,wide text,N,N,"",1,A,"","",,,,,f,N,,,
175,35,8,Doctor's Signature,text,N,N,"",1,A,"","",,,,,f,N,,,
174,35,7,Final Diagnosis,text,N,N,"",1,A,"","",,,,,f,N,,,
152,31,5,Personal History,checkbox,N,N,"",,A,"","",,,,,f,N,,,
177,31,3,Past History,wide text,N,N,"",1,A,"","",,,,,f,N,,,
161,33,3,VRx,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
178,36,1,Main Complaints,wide text,N,N,"",1,A,"","",,,,,f,N,,,
179,36,2,Associated Symptoms,wide text,N,N,"",1,A,"","",,,,,f,N,,,
180,36,3,History Of Present Illness,wide text,N,N,"",1,A,"","",,,,,f,N,,,
181,36,4,History of Past illness (Upadrava),wide text,N,N,"",,A,"","",,,,,f,N,,,
182,36,5,Family History,wide text,N,N,"",1,A,"","",,,,,f,N,,,
185,37,3,Vegetables,checkbox,N,N,"",,A,"","",,,,,f,N,,,
183,36,6,Per,wide text,N,N,"",1,I,"","",,,,,f,N,,,
184,37,1,Ahara(Food),dropdown,N,N,"",,A,"","",,,,,f,N,,,
186,37,4,Grains,checkbox,N,N,"",,A,"","",,,,,f,N,,,
187,37,5,Pulses,checkbox,N,N,"",,A,"","",,,,,f,N,,,
188,37,6,Junk Foods,checkbox,N,N,"",,A,"","",,,,,f,N,,,
189,37,7,Bakery Items,checkbox,N,N,"",,A,"","",,,,,f,N,,,
190,37,8,Milk Products,checkbox,N,N,"",,A,"","",,,,,f,N,,,
191,37,8,Drinks,checkbox,N,N,"",,A,"","",,,,,f,N,,,
192,37,9,Spices,checkbox,N,N,"",,A,"","",,,,,f,N,,,
193,37,10,Cooking Media,checkbox,N,N,"",,A,"","",,,,,f,N,,,
194,37,11,Salads,checkbox,N,N,"",,A,"","",,,,,f,N,,,
195,37,12,Stale food intake frequency,text,N,N,"",1,A,"","",,,,,f,N,,,
196,37,13,Water Intake frequency,text,N,N,"",,A,"","",,,,,f,N,,,
197,37,13,Totla Quantity in Lts,text,N,N,"",,A,"","",,,,,f,N,,,
200,37,16,Fasting Frequency,text,N,N,"",,A,"","",,,,,f,N,,,
202,37,18,Non Veg type,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
203,37,19,Meat,checkbox,N,N,"",,A,"","",,,,,f,N,,,
201,37,17,Non-Vegetarian Intake,dropdown,N,N,"",,A,"","",,,,,f,N,,,
204,38,1,Food Habit Time,dropdown,N,N,"",,A,"","",,,,,f,N,,,
205,38,2,Food Timing ,checkbox,N,N,"",,A,"","",,,,,f,N,,,
206,38,3,Food intake,dropdown,N,N,"",,A,"","",,,,,f,N,,,
207,38,4,Concentration during food intake,dropdown,N,N,"",,A,"","",,,,,f,N,,,
208,38,5,Bath,dropdown,N,N,"",,A,"","",,,,,f,N,,,
209,38,6,Timing Of work,text,N,N,"",,A,"","",,,,,f,N,,,
210,38,7,Nature Of Work,text,N,N,"",,A,"","",,,,,f,N,,,
211,38,8,Nidra,checkbox,N,N,"",,A,"","",,,,,f,N,,,
212,38,9,Appetite,dropdown,N,N,"",,A,"","",,,,,f,N,,,
213,38,11,Bowel,checkbox,N,N,"",,A,"","",,,,,f,N,,,
214,38,12,Micturition,checkbox,N,N,"",,A,"","",,,,,f,N,,,
223,39,1,Antropometric measurements ,checkbox,N,N,"",1,A,"","",,,,,f,N,,,
215,38,13,Habits,checkbox,N,N,"",,A,"","",,,,,f,N,,,
216,38,14,Menstrual Cycle,checkbox,N,N,"",,A,"","",,,,,f,N,,,
217,38,15,Psychological,wide text,N,N,"",,A,"","",,,,,f,N,,,
218,38,16,General Examination,checkbox,N,N,"",,A,"","",,,,,f,N,,,
