sttdis,grpcomb,node001,node002,node003,node004,node005,node006,node007,node008,node009,node010,node011,node012,node013,node014,node015,node016,node017,node018,node019,node020,node021,node022,node023,node024,node025,node026,node027
A11.0,' 'A11.0' ' ' 'G9.7' ' ' 'S18.0' ' ' 'V2.63' ','A11.0','A11.0' 'G9.7','A11.0' 'G9.7' 'S18.0','A11.0' 'G9.7' 'S18.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'H2.0' ' ' 'V2.63' ','A11.0','A11.0' 'H2.0','A11.0' 'H2.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'K4.13' ' ' 'M10.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'K4.13','A11.0' 'K10.38A' 'K4.13' 'M10.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.0' ' ' 'B2.0' ' ' 'G10.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.0','A11.0' 'K10.38A' 'S14.0' 'B2.0','A11.0' 'K10.38A' 'S14.0' 'B2.0' 'G10.0', , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.17' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.17', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.21' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.21', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.7' ' ' 'M2.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S14.7','A11.0' 'K10.38A' 'S14.7' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'S16.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'S16.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.0' ' ' 'A6.0' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'V2.0','A11.0' 'K10.38A' 'V2.0' 'A6.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.23' ' ' 'V2.10' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'V2.23','A11.0' 'K10.38A' 'V2.23' 'V2.10', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.63' ','A11.0','A11.0' 'K10.38A','A11.0' 'K10.38A' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'K3.0' ' ' 'M2.0' ','A11.0','A11.0' 'K3.0','A11.0' 'K3.0' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M10.1' ','A11.0','A11.0' 'M10.1', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M10.1' ' ' 'S16.1' ','A11.0','A11.0' 'M10.1','A11.0' 'M10.1' 'S16.1', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M2.0' ','A11.0','A11.0' 'M2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M2.0' ' ' 'N4.0' ' ' 'K2.1' ','A11.0','A11.0' 'M2.0','A11.0' 'M2.0' 'N4.0','A11.0' 'M2.0' 'N4.0' 'K2.1', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M2.0' ' ' 'V5.0' ','A11.0','A11.0' 'M2.0','A11.0' 'M2.0' 'V5.0', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'M6.43' ' ' 'V2.63' ','A11.0','A11.0' 'M6.43','A11.0' 'M6.43' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'N2.18' ' ' 'S14.1' ' ' 'V2.0' ' ' 'MS G1.0' ' ' 'V2.63' ' ' 'V2.2' ' ' 'K2.0' ' ' 'V1.0' ' ' 'A6.0' ','A11.0','A11.0' 'N2.18','A11.0' 'N2.18' 'S14.1','A11.0' 'N2.18' 'S14.1' 'V2.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2' 'K2.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2' 'K2.0' 'V1.0','A11.0' 'N2.18' 'S14.1' 'V2.0' 'MS G1.0' 'V2.63' 'V2.2' 'K2.0' 'V1.0' 'A6.0', , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'N4.0' ' ' 'S16.0' ' ' 'A12.0' ' ' 'K10.38A' ' ' 'M2.0' ','A11.0','A11.0' 'N4.0','A11.0' 'N4.0' 'S16.0','A11.0' 'N4.0' 'S16.0' 'A12.0','A11.0' 'N4.0' 'S16.0' 'A12.0' 'K10.38A','A11.0' 'N4.0' 'S16.0' 'A12.0' 'K10.38A' 'M2.0', , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'N4.0' ' ' 'V2.0' ' ' 'S14.21' ' ' 'V2.10' ' ' 'MS G1.0' ','A11.0','A11.0' 'N4.0','A11.0' 'N4.0' 'V2.0','A11.0' 'N4.0' 'V2.0' 'S14.21','A11.0' 'N4.0' 'V2.0' 'S14.21' 'V2.10','A11.0' 'N4.0' 'V2.0' 'S14.21' 'V2.10' 'MS G1.0', , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'P5.0' ','A11.0','A11.0' 'P5.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'V2.56.0' ','A11.0','A11.0' 'P5.0','A11.0' 'P5.0' 'V2.63','A11.0' 'P5.0' 'V2.63' 'V2.56.0', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'S13.11' ' ' 'V2.63' ','A11.0','A11.0' 'S13.11','A11.0' 'S13.11' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'S14.0' ' ' 'K2.0' ' ' 'S13.11' ','A11.0','A11.0' 'S14.0','A11.0' 'S14.0' 'K2.0','A11.0' 'S14.0' 'K2.0' 'S13.11', , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'S14.21' ','A11.0','A11.0' 'S14.21', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'S15.42' ','A11.0','A11.0' 'S15.42', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'S16.0' ','A11.0','A11.0' 'S16.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'S4.0' ' ' 'V5.0' ' ' 'S16.0' ' ' 'V16.0' ','A11.0','A11.0' 'S4.0','A11.0' 'S4.0' 'V5.0','A11.0' 'S4.0' 'V5.0' 'S16.0','A11.0' 'S4.0' 'V5.0' 'S16.0' 'V16.0', , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V1.0' ','A11.0','A11.0' 'V1.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.0' ','A11.0','A11.0' 'V2.0', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.10' ' ' 'V2.63' ','A11.0','A11.0' 'V2.10','A11.0' 'V2.10' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.10' ' ' 'V2.9' ','A11.0','A11.0' 'V2.10','A11.0' 'V2.10' 'V2.9', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.23' ','A11.0','A11.0' 'V2.23', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.23' ' ' 'V2.0' ' ' 'A6.0' ' ' 'M2.0' ' ' 'P5.0' ','A11.0','A11.0' 'V2.23','A11.0' 'V2.23' 'V2.0','A11.0' 'V2.23' 'V2.0' 'A6.0','A11.0' 'V2.23' 'V2.0' 'A6.0' 'M2.0','A11.0' 'V2.23' 'V2.0' 'A6.0' 'M2.0' 'P5.0', , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.36' ' ' 'N2.21.1' ' ' 'V2.10' ' ' 'S14.21' ' ' 'V2.63' ','A11.0','A11.0' 'V2.36','A11.0' 'V2.36' 'N2.21.1','A11.0' 'V2.36' 'N2.21.1' 'V2.10','A11.0' 'V2.36' 'N2.21.1' 'V2.10' 'S14.21','A11.0' 'V2.36' 'N2.21.1' 'V2.10' 'S14.21' 'V2.63', , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.63' ','A11.0','A11.0' 'V2.63', , , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V2.63' ' ' 'K10.38' ','A11.0','A11.0' 'V2.63','A11.0' 'V2.63' 'K10.38', , , , , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'V5.1' ' ' 'K3.1' ' ' 'V2.63' ' ' 'V2.0' ' ' 'N4.35' ','A11.0','A11.0' 'V5.1','A11.0' 'V5.1' 'K3.1','A11.0' 'V5.1' 'K3.1' 'V2.63','A11.0' 'V5.1' 'K3.1' 'V2.63' 'V2.0','A11.0' 'V5.1' 'K3.1' 'V2.63' 'V2.0' 'N4.35', , , , , , , , , , , , , , , , , , , , , 
A11.0,' 'A11.0' ' ' 'k12.9' ' ' 'M10.2' ','A11.0','A11.0' 'k12.9','A11.0' 'k12.9' 'M10.2', , , , , , , , , , , , , , , , , , , , , , , , 
A11.1,' 'A11.1' ' ' 'N2.18' ' ' 'V2.23' ' ' 'S14.21' ','A11.1','A11.1' 'N2.18','A11.1' 'N2.18' 'V2.23','A11.1' 'N2.18' 'V2.23' 'S14.21', , , , , , , , , , , , , , , , , , , , , , , 
A11.1,' 'A11.1' ' ' 'S14.3' ' ' 'MS G1.0' ' ' 'V2.23' ','A11.1','A11.1' 'S14.3','A11.1' 'S14.3' 'MS G1.0','A11.1' 'S14.3' 'MS G1.0' 'V2.23', , , , , , , , , , , , , , , , , , , , , , , 
A11.10,' 'A11.10' ' ' 'A12.1' ' ' 'V2.0' ' ' 'A11.0' ' ' 'V2.36' ' ' 'P5.0' ' ' 'k12.0' ','A11.10','A11.10' 'A12.1','A11.10' 'A12.1' 'V2.0','A11.10' 'A12.1' 'V2.0' 'A11.0','A11.10' 'A12.1' 'V2.0' 'A11.0' 'V2.36','A11.10' 'A12.1' 'V2.0' 'A11.0' 'V2.36' 'P5.0','A11.10' 'A12.1' 'V2.0' 'A11.0' 'V2.36' 'P5.0' 'k12.0', , , , , , , , , , , , , , , , , , , , 
A11.10,' 'A11.10' ' ' 'S13.11' ' ' 'S2.10' ','A11.10','A11.10' 'S13.11','A11.10' 'S13.11' 'S2.10', , , , , , , , , , , , , , , , , , , , , , , , 
