discomb,descomb,numcomb,grpcomb,npt,sttdis,node
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A6.0' ' ' 'MS G1.0' ' ' 'V2.23' ' ' 'V2.36' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A6.0' ' ' 'S13.11' ' ' 'S4.0' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'A6.0' ' ' 'V2.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'B2.0' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'B2.1' ' ' 'B2.0' ' ' 'S16.0' ' ' 'M18.11.2' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'G9.7' ' ' 'S18.0' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'H2.0' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'K4.13' ' ' 'M10.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.0' ' ' 'B2.0' ' ' 'G10.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.17' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.21' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.7' ' ' 'M2.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'S16.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.0' ' ' 'A6.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.23' ' ' 'V2.10' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'K3.0' ' ' 'M2.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'M10.1' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'M10.1' ' ' 'S16.1' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'M2.0' ',2,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'M2.0' ' ' 'N4.0' ' ' 'K2.1' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'M2.0' ' ' 'V5.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'M6.43' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'N2.18' ' ' 'S14.1' ' ' 'V2.0' ' ' 'MS G1.0' ' ' 'V2.63' ' ' 'V2.2' ' ' 'K2.0' ' ' 'V1.0' ' ' 'A6.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'N4.0' ' ' 'S16.0' ' ' 'A12.0' ' ' 'K10.38A' ' ' 'M2.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'N4.0' ' ' 'V2.0' ' ' 'S14.21' ' ' 'V2.10' ' ' 'MS G1.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'P5.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'V2.56.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'S13.11' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'S14.0' ' ' 'K2.0' ' ' 'S13.11' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'S14.21' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'S15.42' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'S16.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'S4.0' ' ' 'V5.0' ' ' 'S16.0' ' ' 'V16.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V1.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.0' ',3,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.10' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.10' ' ' 'V2.9' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.23' ',5,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.23' ' ' 'V2.0' ' ' 'A6.0' ' ' 'M2.0' ' ' 'P5.0' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.36' ' ' 'N2.21.1' ' ' 'V2.10' ' ' 'S14.21' ' ' 'V2.63' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.63' ',2,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V2.63' ' ' 'K10.38' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'V5.1' ' ' 'K3.1' ' ' 'V2.63' ' ' 'V2.0' ' ' 'N4.35' ',1,A11.0,1
'A11.0','OTHER: Arshas,1,' 'A11.0' ' ' 'k12.9' ' ' 'M10.2' ',1,A11.0,1
'A11.0' 'A16.0','OTHER: Arshas 'OTHER: Atisaara,2,' 'A11.0' ' ' 'A16.0' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'A2.0','OTHER: Arshas 'RMSD: Aamavaata,2,' 'A11.0' ' ' 'A2.0' ',1,A11.0,2
'A11.0' 'A2.0','OTHER: Arshas 'RMSD: Aamavaata,2,' 'A11.0' ' ' 'A2.0' ' ' 'G10.0' ' ' 'N2.21.0' ',1,A11.0,2
'A11.0' 'A6.0','OTHER: Arshas 'OTHER: Amlapitta,2,' 'A11.0' ' ' 'A6.0' ' ' 'K10.38' ' ' 'K10.38A' ' ' 'G8.0' ' ' 'V2.23' ',1,A11.0,2
'A11.0' 'A6.0','OTHER: Arshas 'OTHER: Amlapitta,2,' 'A11.0' ' ' 'A6.0' ' ' 'MS G1.0' ' ' 'V2.23' ' ' 'V2.36' ',1,A11.0,2
'A11.0' 'A6.0','OTHER: Arshas 'OTHER: Amlapitta,2,' 'A11.0' ' ' 'A6.0' ' ' 'S13.11' ' ' 'S4.0' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'A6.0','OTHER: Arshas 'OTHER: Amlapitta,2,' 'A11.0' ' ' 'A6.0' ' ' 'V2.0' ',1,A11.0,2
'A11.0' 'B2.0','OTHER: Arshas 'OTHER: Bhagandara,2,' 'A11.0' ' ' 'B2.0' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'B2.1','OTHER: Arshas 'OTHER: Bhagandara - Arsho Bhagandara,2,' 'A11.0' ' ' 'B2.1' ' ' 'B2.0' ' ' 'S16.0' ' ' 'M18.11.2' ',1,A11.0,2
'A11.0' 'G9.7','OTHER: Arshas 'OTHER: Granthi - Siraa Granthi,2,' 'A11.0' ' ' 'G9.7' ' ' 'S18.0' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'H2.0','OTHER: Arshas 'OTHER: Hridroga,2,' 'A11.0' ' ' 'H2.0' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'K4.13' ' ' 'M10.0' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.0' ' ' 'B2.0' ' ' 'G10.0' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.17' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.21' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'S14.7' ' ' 'M2.0' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'S16.0' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.0' ' ' 'A6.0' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.23' ' ' 'V2.10' ',1,A11.0,2
'A11.0' 'K10.38A','OTHER: Arshas 'OTHER: Kshudra Roga - Parikartikaa,2,' 'A11.0' ' ' 'K10.38A' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'K3.0','OTHER: Arshas 'OTHER: Kandoo,2,' 'A11.0' ' ' 'K3.0' ' ' 'M2.0' ',1,A11.0,2
'A11.0' 'M10.1','OTHER: Arshas 'Metabolic: Medoroga - Sthula medho roga,2,' 'A11.0' ' ' 'M10.1' ',1,A11.0,2
'A11.0' 'M10.1','OTHER: Arshas 'Metabolic: Medoroga - Sthula medho roga,2,' 'A11.0' ' ' 'M10.1' ' ' 'S16.1' ',1,A11.0,2
'A11.0' 'M2.0','OTHER: Arshas 'Metabolic: Madhumeha,2,' 'A11.0' ' ' 'M2.0' ',2,A11.0,2
'A11.0' 'M2.0','OTHER: Arshas 'Metabolic: Madhumeha,2,' 'A11.0' ' ' 'M2.0' ' ' 'N4.0' ' ' 'K2.1' ',1,A11.0,2
'A11.0' 'M2.0','OTHER: Arshas 'Metabolic: Madhumeha,2,' 'A11.0' ' ' 'M2.0' ' ' 'V5.0' ',1,A11.0,2
'A11.0' 'M6.43','OTHER: Arshas 'OTHER: Marma Viddha - Snaayu Viddha,2,' 'A11.0' ' ' 'M6.43' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'N2.18','OTHER: Arshas 'OTHER: Naasaa Roga - Peenasa,2,' 'A11.0' ' ' 'N2.18' ' ' 'S14.1' ' ' 'V2.0' ' ' 'MS G1.0' ' ' 'V2.63' ' ' 'V2.2' ' ' 'K2.0' ' ' 'V1.0' ' ' 'A6.0' ',1,A11.0,2
'A11.0' 'N4.0','OTHER: Arshas 'OTHER: Netra Roga,2,' 'A11.0' ' ' 'N4.0' ' ' 'S16.0' ' ' 'A12.0' ' ' 'K10.38A' ' ' 'M2.0' ',1,A11.0,2
'A11.0' 'N4.0','OTHER: Arshas 'OTHER: Netra Roga,2,' 'A11.0' ' ' 'N4.0' ' ' 'V2.0' ' ' 'S14.21' ' ' 'V2.10' ' ' 'MS G1.0' ',1,A11.0,2
'A11.0' 'P5.0','OTHER: Arshas 'Metabolic: Prameha,2,' 'A11.0' ' ' 'P5.0' ',1,A11.0,2
'A11.0' 'P5.0','OTHER: Arshas 'Metabolic: Prameha,2,' 'A11.0' ' ' 'P5.0' ' ' 'V2.63' ' ' 'V2.56.0' ',1,A11.0,2
'A11.0' 'S13.11','OTHER: Arshas 'RMSD: Sthaanabhedena Graha - Katee Graha,2,' 'A11.0' ' ' 'S13.11' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'S14.0','OTHER: Arshas 'RMSD: Sthaanabhedena Shoola,2,' 'A11.0' ' ' 'S14.0' ' ' 'K2.0' ' ' 'S13.11' ',1,A11.0,2
'A11.0' 'S14.21','OTHER: Arshas 'RMSD: Sthaanabhedena Shoola - Katee Shoola,2,' 'A11.0' ' ' 'S14.21' ',1,A11.0,2
'A11.0' 'S15.42','OTHER: Arshas 'RMSD: Sthaanabhedena Shoola - Sandhi Shoola,2,' 'A11.0' ' ' 'S15.42' ',1,A11.0,2
'A11.0' 'S16.0','OTHER: Arshas 'Metabolic: Sthaulya,2,' 'A11.0' ' ' 'S16.0' ',1,A11.0,2
'A11.0' 'S4.0','OTHER: Arshas 'OTHER: Shvaasa,2,' 'A11.0' ' ' 'S4.0' ' ' 'V5.0' ' ' 'S16.0' ' ' 'V16.0' ',1,A11.0,2
'A11.0' 'V1.0','OTHER: Arshas 'RMSD: Vaatarakta,2,' 'A11.0' ' ' 'V1.0' ',1,A11.0,2
'A11.0' 'V2.0','OTHER: Arshas 'RMSD: Vaatavyaadhi,2,' 'A11.0' ' ' 'V2.0' ',3,A11.0,2
'A11.0' 'V2.10','OTHER: Arshas 'OTHER: Vaatavyaadhi - Avabaahuka,2,' 'A11.0' ' ' 'V2.10' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'V2.10','OTHER: Arshas 'OTHER: Vaatavyaadhi - Avabaahuka,2,' 'A11.0' ' ' 'V2.10' ' ' 'V2.9' ',1,A11.0,2
'A11.0' 'V2.23','OTHER: Arshas 'RMSD: Vaatavyaadhi - Gridhrasee,2,' 'A11.0' ' ' 'V2.23' ',5,A11.0,2
'A11.0' 'V2.23','OTHER: Arshas 'RMSD: Vaatavyaadhi - Gridhrasee,2,' 'A11.0' ' ' 'V2.23' ' ' 'V2.0' ' ' 'A6.0' ' ' 'M2.0' ' ' 'P5.0' ',1,A11.0,2
'A11.0' 'V2.36','OTHER: Arshas 'RMSD: Vaatavyaadhi - Kateegata Vaata,2,' 'A11.0' ' ' 'V2.36' ' ' 'N2.21.1' ' ' 'V2.10' ' ' 'S14.21' ' ' 'V2.63' ',1,A11.0,2
'A11.0' 'V2.63','OTHER: Arshas 'RMSD: Vaatavyaadhi - Sandhigata Vaata,2,' 'A11.0' ' ' 'V2.63' ',2,A11.0,2
'A11.0' 'V2.63','OTHER: Arshas 'RMSD: Vaatavyaadhi - Sandhigata Vaata,2,' 'A11.0' ' ' 'V2.63' ' ' 'K10.38' ',1,A11.0,2
'A11.0' 'V5.1','OTHER: Arshas 'OTHER: Vibandha - Mala Vibandha,2,' 'A11.0' ' ' 'V5.1' ' ' 'K3.1' ' ' 'V2.63' ' ' 'V2.0' ' ' 'N4.35' ',1,A11.0,2
'A11.0' 'k12.9','OTHER: Arshas 'OTHER: Kushtha-kitibha,2,' 'A11.0' ' ' 'k12.9' ' ' 'M10.2' ',1,A11.0,2
'A11.0' 'A16.0' 'V2.63','OTHER: Arshas 'OTHER: Atisaara 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'A11.0' ' ' 'A16.0' ' ' 'V2.63' ',1,A11.0,3
'A11.0' 'A2.0' 'G10.0','OTHER: Arshas 'RMSD: Aamavaata 'OTHER: Guda Roga,3,' 'A11.0' ' ' 'A2.0' ' ' 'G10.0' ' ' 'N2.21.0' ',1,A11.0,3
'A11.0' 'A6.0' 'K10.38','OTHER: Arshas 'OTHER: Amlapitta 'OTHER: Kshudra Roga - Parivartikaa,3,' 'A11.0' ' ' 'A6.0' ' ' 'K10.38' ' ' 'K10.38A' ' ' 'G8.0' ' ' 'V2.23' ',1,A11.0,3
'A11.0' 'A6.0' 'MS G1.0','OTHER: Arshas 'OTHER: Amlapitta 'OTHER: Greeva Graha,3,' 'A11.0' ' ' 'A6.0' ' ' 'MS G1.0' ' ' 'V2.23' ' ' 'V2.36' ',1,A11.0,3
'A11.0' 'A6.0' 'S13.11','OTHER: Arshas 'OTHER: Amlapitta 'RMSD: Sthaanabhedena Graha - Katee Graha,3,' 'A11.0' ' ' 'A6.0' ' ' 'S13.11' ' ' 'S4.0' ' ' 'V2.63' ',1,A11.0,3
'A11.0' 'A6.0' 'V2.0','OTHER: Arshas 'OTHER: Amlapitta 'RMSD: Vaatavyaadhi,3,' 'A11.0' ' ' 'A6.0' ' ' 'V2.0' ',1,A11.0,3
'A11.0' 'B2.0' 'V2.63','OTHER: Arshas 'OTHER: Bhagandara 'RMSD: Vaatavyaadhi - Sandhigata Vaata,3,' 'A11.0' ' ' 'B2.0' ' ' 'V2.63' ',1,A11.0,3
'A11.0' 'B2.1' 'B2.0','OTHER: Arshas 'OTHER: Bhagandara - Arsho Bhagandara 'OTHER: Bhagandara,3,' 'A11.0' ' ' 'B2.1' ' ' 'B2.0' ' ' 'S16.0' ' ' 'M18.11.2' ',1,A11.0,3
'A11.0' 'G9.7' 'S18.0','OTHER: Arshas 'OTHER: Granthi - Siraa Granthi 'OTHER: Swastha,3,' 'A11.0' ' ' 'G9.7' ' ' 'S18.0' ' ' 'V2.63' ',1,A11.0,3
