Code,Description,distype,date
V1.5,Vaatarakta - Pittaadhika Vaatarakta,RMSD,25-Dec-16
V1.7,Vaatarakta - Uttaana,RMSD,25-Dec-16
V1.8,Vaatarakta - Vaata Kaphaja,RMSD,25-Dec-16
V1.9,Vaatarakta - Vaataadhika Vaatarakta,RMSD,25-Dec-16
V2.0,Vaatavyaadhi,RMSD,25-Dec-16
V2.12,Vaatavyaadhi - Stabdhagaatra,RMSD,25-Dec-16
V2.16,Vaatavyaadhi - Baahugata Vaata,RMSD,25-Dec-16
V2.23,Vaatavyaadhi - Gridhrasee,RMSD,25-Dec-16
V2.30,Vaatavyaadhi - Jaanugata Vaata,RMSD,25-Dec-16
V2.31,Vaatavyaadhi - Janghaagata Vaata,RMSD,25-Dec-16
V2.36,Vaatavyaadhi - Kateegata Vaata,RMSD,25-Dec-16
V2.42,Vaatavyaadhi - Maamsagata Vaata,RMSD,25-Dec-16
V2.43,Vaatavyaadhi - Maamsamedogata Vaata,RMSD,25-Dec-16
V2.44,Vaatavyaadhi - Majjaagata Vaata,RMSD,25-Dec-16
V2.45,Vaatavyaadhi - Majjaasthigata Vaata,RMSD,25-Dec-16
V2.46,Vaatavyaadhi - Manyaagata Vaata,RMSD,25-Dec-16
V2.47,Vaatavyaadhi - Manyaastambha,RMSD,25-Dec-16
V2.48,Vaatavyaadhi - Medogata Vaata,RMSD,25-Dec-16
V2.61,Vaatavyaadhi - Prishthagata Vaata,RMSD,25-Dec-16
V2.63,Vaatavyaadhi - Sandhigata Vaata,RMSD,25-Dec-16
V2.64,Vaatavyaadhi - Sarvaangagata Vaata,RMSD,25-Dec-16
V2.65,Vaatavyaadhi - Shaakhaagata Vaata,RMSD,25-Dec-16
V2.68,Vaatavyaadhi - Siraagata Vaata,RMSD,25-Dec-16
V2.69,Vaatavyaadhi - Siraagraha,RMSD,25-Dec-16
V2.70,Vaatavyaadhi - Snaayugata Vaata,RMSD,25-Dec-16
V2.72,Vaatavyaadhi - Trikgata Vaata,RMSD,25-Dec-16
V2.73,Vaatavyaadhi - Tvaggata Vaata,RMSD,25-Dec-16
V2.74,Vaatavyaadhi - Urugata Vaata,RMSD,25-Dec-16
V2.75,Vaatavyaadhi - Vaatakantaka,RMSD,25-Dec-16
V2.77,Vaatavyaadhi - Vishvaachee,RMSD,25-Dec-16
V2.9,Vaatavyaadhi - Asthigata Vaata,RMSD,25-Dec-16
